20429 // magic number - today's date
# fits for colllisional rates within H2
# >>refer	H2	collision	Le Bourlot, J., Pineau des Forets, G., & Flower, D.R. 1999, MNRAS, 305, 802
#log(q(v,j to v',j') cm3s-1)=a+b/t+c/t2 where t=(T(K)/1000)+dt, 
#v_upper	j_upper	v_lower	j_lower	a	b	c
0	2	0	0	-9.92E+00	-2.42E+00	9.28E-02
0	4	0	0	-1.08E+01	-4.45E+00	-3.34E-02
0	4	0	2	-9.77E+00	-2.70E+00	-6.48E-01
0	6	0	0	-1.17E+01	-6.67E+00	7.86E-02
0	6	0	2	-1.07E+01	-4.99E+00	-7.72E-01
0	6	0	4	-9.81E+00	-3.00E+00	-1.54E+00
0	8	0	0	-1.25E+01	-9.57E+00	1.16E+00
0	8	0	2	-1.14E+01	-8.00E+00	3.36E-01
0	8	0	4	-1.06E+01	-6.22E+00	-4.60E-01
0	8	0	6	-9.79E+00	-4.12E+00	-1.00E+00
1	0	0	0	-1.11E+01	-1.25E+01	6.39E+00
1	0	0	2	-1.12E+01	-8.78E+00	1.35E+00
1	0	0	4	-1.13E+01	-8.70E+00	5.26E-01
1	0	0	6	-1.15E+01	-9.66E+00	-5.67E-01
1	0	0	8	-1.23E+01	-9.36E+00	-5.21E+00
1	2	0	0	-1.18E+01	-1.15E+01	3.61E+00
1	2	0	2	-1.10E+01	-1.12E+01	4.33E+00
1	2	0	4	-1.14E+01	-6.32E+00	-1.42E+00
1	2	0	6	-1.14E+01	-8.35E+00	-2.78E-02
1	2	0	8	-1.18E+01	-9.64E+00	-2.11E+00
1	2	1	0	-1.00E+01	-1.45E+00	-1.24E+00
1	4	0	0	-1.23E+01	-1.14E+01	2.62E+00
1	4	0	2	-1.14E+01	-1.18E+01	3.85E+00
1	4	0	4	-1.09E+01	-1.10E+01	4.42E+00
1	4	0	6	-1.13E+01	-5.55E+00	-1.41E+00
1	4	0	8	-1.12E+01	-9.72E+00	2.04E+00
1	4	1	0	-1.08E+01	-4.06E+00	-3.17E-01
1	4	1	2	-9.74E+00	-2.39E+00	-8.96E-01
0	10	0	0	-1.34E+01	-1.28E+01	2.81E+00
0	10	0	2	-1.23E+01	-1.12E+01	1.88E+00
0	10	0	4	-1.14E+01	-9.60E+00	1.12E+00
0	10	0	6	-1.06E+01	-7.62E+00	2.74E-01
0	10	0	8	-9.77E+00	-5.24E+00	-1.85E-01
0	10	1	0	-1.37E+01	-1.44E+01	1.35E+00
