20429 // magic number - today's date
# fits for colllisional rates within H2
# >>refer	H2	collision	Le Bourlot, J., Pineau des Forets, G., & Flower, D.R. 1999, MNRAS, 305, 802
#log(q(v,j to v',j') cm3s-1)=a+b/t+c/t2 where t=(T(K)/1000)+dt, 
#v_upper	j_upper	v_lower	j_lower	a	b	c
0	2	0	0	-9.95E+00	-2.69E+00	2.02E-01
0	4	0	0	-1.09E+01	-4.99E+00	3.76E-01
0	4	0	2	-9.82E+00	-2.83E+00	-5.20E-01
0	6	0	0	-1.19E+01	-7.13E+00	-4.69E-02
0	6	0	2	-1.08E+01	-4.88E+00	-1.14E+00
0	6	0	4	-9.89E+00	-2.91E+00	-1.78E+00
0	8	0	0	-1.28E+01	-1.04E+01	1.24E+00
0	8	0	2	-1.17E+01	-8.33E+00	2.49E-01
0	8	0	4	-1.07E+01	-6.22E+00	-6.99E-01
0	8	0	6	-9.86E+00	-4.06E+00	-1.20E+00
1	0	0	0	-1.12E+01	-1.28E+01	6.67E+00
1	0	0	2	-1.13E+01	-9.15E+00	1.58E+00
1	0	0	4	-1.13E+01	-9.34E+00	1.04E+00
1	0	0	6	-1.17E+01	-1.04E+01	-1.26E-01
1	0	0	8	-1.25E+01	-1.00E+01	-5.06E+00
1	2	0	0	-1.17E+01	-1.28E+01	4.91E+00
1	2	0	2	-1.10E+01	-1.19E+01	5.06E+00
1	2	0	4	-1.16E+01	-5.98E+00	-2.08E+00
1	2	0	6	-1.15E+01	-8.77E+00	2.83E-01
1	2	0	8	-1.20E+01	-9.82E+00	-2.24E+00
1	2	1	0	-1.00E+01	-1.59E+00	-1.24E+00
1	4	0	0	-1.23E+01	-1.23E+01	3.29E+00
1	4	0	2	-1.14E+01	-1.30E+01	5.07E+00
1	4	0	4	-1.10E+01	-1.16E+01	5.07E+00
1	4	0	6	-1.14E+01	-5.67E+00	-1.39E+00
1	4	0	8	-1.13E+01	-1.01E+01	2.38E+00
1	4	1	0	-1.08E+01	-4.60E+00	8.73E-02
1	4	1	2	-9.80E+00	-2.46E+00	-8.39E-01
0	10	0	0	-1.37E+01	-1.46E+01	4.21E+00
0	10	0	2	-1.25E+01	-1.25E+01	2.95E+00
0	10	0	4	-1.15E+01	-1.02E+01	1.60E+00
0	10	0	6	-1.07E+01	-7.88E+00	4.37E-01
0	10	0	8	-9.81E+00	-5.42E+00	-6.28E-02
0	10	1	0	-1.41E+01	-1.54E+01	2.04E+00
0	10	1	2	-1.30E+01	-1.31E+01	7.44E-01
0	10	1	4	-1.23E+01	-1.08E+01	-6.17E-01
1	6	0	0	-1.31E+01	-1.23E+01	1.68E+00
1	6	0	2	-1.22E+01	-1.21E+01	2.37E+00
1	6	0	4	-1.15E+01	-1.15E+01	2.77E+00
1	6	0	6	-1.11E+01	-9.49E+00	2.04E+00
1	6	0	8	-1.12E+01	-4.85E+00	-1.71E+00
1	6	1	0	-1.19E+01	-6.11E+00	-1.04E+00
1	6	1	2	-1.08E+01	-4.06E+00	-2.02E+00
1	6	1	4	-9.94E+00	-1.93E+00	-2.93E+00
1	6	0	10	-1.13E+01	-9.71E+00	1.53E+00
1	8	0	0	-1.36E+01	-1.56E+01	4.39E+00
1	8	0	2	-1.27E+01	-1.47E+01	4.33E+00
1	8	0	4	-1.20E+01	-1.37E+01	4.22E+00
1	8	0	6	-1.14E+01	-1.23E+01	3.93E+00
1	8	0	8	-1.09E+01	-1.01E+01	3.05E+00
1	8	1	0	-1.27E+01	-9.42E+00	5.03E-01
1	8	1	2	-1.16E+01	-7.66E+00	-2.33E-01
1	8	1	4	-1.07E+01	-5.69E+00	-1.08E+00
1	8	0	10	-1.09E+01	-4.78E+00	-8.84E-01
1	8	1	6	-9.85E+00	-3.53E+00	-1.66E+00
2	0	0	0	-1.33E+01	-1.50E+01	9.82E+00
2	0	0	2	-1.23E+01	-1.78E+01	1.05E+01
2	0	0	4	-1.26E+01	-1.61E+01	7.58E+00
2	0	0	6	-1.31E+01	-1.15E+01	3.10E-01
2	0	0	8	-1.31E+01	-1.39E+01	2.06E+00
2	0	1	0	-1.10E+01	-1.07E+01	4.26E+00
2	0	1	2	-1.11E+01	-7.63E+00	-1.87E-01
2	0	1	4	-1.10E+01	-8.48E+00	3.45E-01
2	0	0	10	-1.35E+01	-1.56E+01	1.29E+00
2	0	1	6	-1.12E+01	-9.88E+00	-2.85E-01
