20429 // magic number - today's date
# fits for H impact colllisional rates within H2
# >>refer	H2	collision	Le Bourlot, J., Pineau des Forets, G., & Flower, D.R. 1999, MNRAS, 305, 802
#log(q(v,j to v',j') cm3s-1)=a+b/t+c/t2 where t=(T(K)/1000)+dt, 
#v_upper	j_upper	v_lower	j_lower	a	b	c
#0	0	0	0	-8.42E+00	-1.14E-01	-1.46E+00
0	2	0	0	-9.83E+00	-3.98E+00	-1.84E-01
0	2	0	2	-8.31E+00	-8.62E-01	2.34E-02
0	4	0	0	-1.04E+01	-5.89E+00	1.72E+00
0	4	0	2	-9.51E+00	-4.73E+00	5.60E-01
0	4	0	4	-8.31E+00	-8.62E-01	2.34E-02
0	6	0	0	-1.11E+01	-4.71E+00	-2.61E+00
0	6	0	2	-1.02E+01	-5.09E+00	-7.04E-01
0	6	0	4	-9.68E+00	-3.43E+00	-1.88E+00
0	6	0	6	-8.32E+00	-7.88E-01	-1.65E-01
0	8	0	0	-1.16E+01	-4.00E+00	-4.85E+00
0	8	0	2	-1.08E+01	-4.19E+00	-3.95E+00
0	8	0	4	-1.04E+01	-3.35E+00	-3.74E+00
0	8	0	6	-9.85E+00	-2.37E+00	-3.68E+00
0	8	0	8	-8.49E+00	5.02E-01	-2.12E+00
1	0	0	0	-9.95E+00	-6.70E+00	-1.95E+00
1	0	0	2	-9.88E+00	-4.97E+00	-3.02E+00
1	0	0	4	-1.02E+01	-5.02E+00	-2.37E+00
1	0	0	6	-1.05E+01	-5.74E+00	-1.93E+00
1	0	0	8	-1.01E+01	-1.21E+01	7.19E+00
1	0	1	0	-8.43E+00	-1.31E-01	-9.98E-01
1	2	0	0	-1.07E+01	-4.66E+00	-3.97E+00
1	2	0	2	-9.87E+00	-5.41E+00	-2.91E+00
1	2	0	4	-9.97E+00	-4.92E+00	-2.25E+00
1	2	0	6	-1.03E+01	-5.52E+00	-9.71E-01
1	2	0	8	-1.03E+01	-9.61E+00	5.22E+00
1	2	1	0	-1.01E+01	-1.74E+00	-2.17E+00
1	2	1	2	-8.47E+00	2.36E-01	-1.67E+00
1	4	0	0	-1.11E+01	-5.51E+00	-3.10E+00
1	4	0	2	-1.04E+01	-4.84E+00	-3.32E+00
1	4	0	4	-9.88E+00	-5.23E+00	-2.38E+00
1	4	0	6	-9.97E+00	-4.69E+00	-1.60E+00
1	4	0	8	-1.02E+01	-6.71E+00	1.27E+00
1	4	1	0	-1.07E+01	-2.80E+00	-1.57E+00
1	4	1	2	-9.75E+00	-2.43E+00	-1.66E+00
1	4	1	4	-8.40E+00	-2.80E-01	-7.86E-01
0	10	0	0	-1.20E+01	-5.16E+00	-3.75E+00
0	10	0	2	-1.11E+01	-5.19E+00	-3.34E+00
0	10	0	4	-1.07E+01	-5.12E+00	-2.59E+00
0	10	0	6	-1.03E+01	-4.78E+00	-1.95E+00
0	10	0	8	-9.77E+00	-3.38E+00	-2.24E+00
0	10	1	0	-1.22E+01	-8.70E+00	1.93E-01
0	10	1	2	-1.13E+01	-9.58E+00	2.66E+00
0	10	1	4	-1.07E+01	-1.02E+01	5.86E+00
0	10	0	10	-8.31E+00	-8.46E-01	-2.68E-03
1	6	0	0	-1.17E+01	-3.96E+00	-5.54E+00
1	6	0	2	-1.10E+01	-3.66E+00	-5.41E+00
1	6	0	4	-1.07E+01	-3.05E+00	-5.23E+00
1	6	0	6	-1.01E+01	-3.67E+00	-4.06E+00
1	6	0	8	-1.01E+01	-3.38E+00	-3.00E+00
1	6	1	0	-1.17E+01	1.86E-02	-7.36E+00
1	6	1	2	-1.07E+01	-3.81E-01	-6.19E+00
1	6	1	4	-1.00E+01	-5.30E-01	-5.02E+00
1	6	0	10	-1.05E+01	-5.93E+00	2.00E+00
1	6	1	6	-8.61E+00	1.28E+00	-3.21E+00
1	8	0	0	-1.20E+01	-5.13E+00	-4.27E+00
1	8	0	2	-1.13E+01	-4.57E+00	-4.28E+00
1	8	0	4	-1.08E+01	-4.46E+00	-3.83E+00
1	8	0	6	-1.05E+01	-3.85E+00	-3.78E+00
