20429 // magic number - today's date
# fits for colllisional rates within H2
# >>refer	H2	collision	Le Bourlot, J., Pineau des Forets, G., & Flower, D.R. 1999, MNRAS, 305, 802
#log(q(v,j to v',j') cm3s-1)=a+b/t+c/t2 where t=(T(K)/1000)+dt, 
#v_upper	j_upper	v_lower	j_lower	a	b	c
0	2	0	0	-9.96E+00	-1.19E+00	-1.17E+00
0	4	0	0	-1.05E+01	-3.06E+00	-1.44E+00
0	4	0	2	-9.73E+00	-1.76E+00	-1.75E+00
0	6	0	0	-1.10E+01	-5.11E+00	-1.69E+00
0	6	0	2	-1.03E+01	-3.76E+00	-2.21E+00
0	6	0	4	-9.77E+00	-2.16E+00	-2.50E+00
0	8	0	0	-1.14E+01	-8.25E+00	-4.40E-01
0	8	0	2	-1.07E+01	-6.74E+00	-1.23E+00
0	8	0	4	-1.02E+01	-5.07E+00	-1.87E+00
0	8	0	6	-9.73E+00	-3.32E+00	-1.98E+00
1	0	0	0	-1.19E+01	-6.83E+00	-8.49E-01
1	0	0	2	-1.14E+01	-7.80E+00	3.88E-01
1	0	0	4	-1.13E+01	-6.44E+00	-2.08E+00
1	0	0	6	-1.09E+01	-8.72E+00	-7.02E-01
1	0	0	8	-1.04E+01	-1.43E+01	4.92E+00
1	2	0	0	-1.21E+01	-7.00E+00	-1.97E+00
1	2	0	2	-1.14E+01	-6.62E+00	-1.63E+00
1	2	0	4	-1.13E+01	-6.27E+00	-1.18E+00
1	2	0	6	-1.09E+01	-8.43E+00	8.85E-01
1	2	0	8	-1.04E+01	-1.39E+01	6.66E+00
1	2	1	0	-1.00E+01	-5.51E-01	-2.04E+00
1	4	0	0	-1.21E+01	-8.15E+00	-1.28E+00
1	4	0	2	-1.14E+01	-7.65E+00	-1.40E+00
1	4	0	4	-1.12E+01	-6.87E+00	-1.25E+00
1	4	0	6	-1.11E+01	-5.43E+00	-1.46E+00
1	4	0	8	-1.10E+01	-7.79E+00	2.44E+00
1	4	1	0	-1.05E+01	-2.80E+00	-1.52E+00
1	4	1	2	-9.70E+00	-1.75E+00	-1.62E+00
0	10	0	0	-1.19E+01	-1.16E+01	1.13E+00
0	10	0	2	-1.11E+01	-1.00E+01	1.94E-01
0	10	0	4	-1.06E+01	-8.18E+00	-7.63E-01
0	10	0	6	-1.02E+01	-6.45E+00	-1.27E+00
0	10	0	8	-9.72E+00	-4.34E+00	-1.49E+00
0	10	1	0	-1.20E+01	-1.47E+01	4.10E+00
0	10	1	2	-1.14E+01	-1.33E+01	3.56E+00
0	10	1	4	-1.11E+01	-1.18E+01	4.27E+00
1	6	0	0	-1.22E+01	-9.06E+00	-1.62E+00
1	6	0	2	-1.15E+01	-8.66E+00	-1.75E+00
1	6	0	4	-1.13E+01	-7.39E+00	-2.24E+00
1	6	0	6	-1.11E+01	-5.75E+00	-2.69E+00
1	6	0	8	-1.11E+01	-3.82E+00	-2.98E+00
1	6	1	0	-1.11E+01	-4.28E+00	-2.44E+00
1	6	1	2	-1.03E+01	-3.09E+00	-2.88E+00
1	6	1	4	-9.84E+00	-1.40E+00	-3.34E+00
1	6	0	10	-1.13E+01	-5.55E+00	1.40E+00
1	8	0	0	-1.23E+01	-1.15E+01	-1.57E-01
1	8	0	2	-1.16E+01	-1.10E+01	-3.04E-01
1	8	0	4	-1.13E+01	-9.82E+00	-8.32E-01
1	8	0	6	-1.11E+01	-8.19E+00	-1.46E+00
1	8	0	8	-1.09E+01	-6.33E+00	-1.76E+00
1	8	1	0	-1.15E+01	-7.59E+00	-7.38E-01
1	8	1	2	-1.07E+01	-6.28E+00	-1.38E+00
1	8	1	4	-1.03E+01	-4.55E+00	-2.09E+00
1	8	0	10	-1.08E+01	-3.82E+00	-2.05E+00
1	8	1	6	-9.74E+00	-2.98E+00	-2.10E+00
2	0	0	0	-1.29E+01	-1.26E+01	3.02E+00
2	0	0	2	-1.24E+01	-1.12E+01	1.50E+00
2	0	0	4	-1.19E+01	-1.25E+01	1.92E+00
2	0	0	6	-1.20E+01	-1.08E+01	-3.44E-01
2	0	0	8	-1.18E+01	-1.16E+01	-6.88E-01
2	0	1	0	-1.17E+01	-6.31E+00	-8.81E-01
2	0	1	2	-1.11E+01	-7.28E+00	2.80E-01
2	0	1	4	-1.10E+01	-5.89E+00	-2.16E+00
2	0	0	10	-1.12E+01	-1.70E+01	5.04E+00
2	0	1	6	-1.06E+01	-7.85E+00	-1.31E+00
2	0	1	8	-1.02E+01	-1.32E+01	4.04E+00
0	12	0	0	-1.24E+01	-1.43E+01	1.74E+00
0	12	0	2	-1.16E+01	-1.26E+01	5.74E-01
0	12	0	4	-1.12E+01	-1.08E+01	-4.53E-01
0	12	0	6	-1.07E+01	-8.88E+00	-1.35E+00
0	12	0	8	-1.03E+01	-6.72E+00	-2.10E+00
0	12	1	0	-1.22E+01	-1.78E+01	6.18E+00
0	12	1	2	-1.15E+01	-1.61E+01	5.33E+00
0	12	1	4	-1.12E+01	-1.39E+01	4.26E+00
0	12	0	10	-9.82E+00	-4.42E+00	-2.18E+00
0	12	1	6	-1.10E+01	-1.14E+01	3.60E+00
0	12	1	8	-1.10E+01	-7.85E+00	4.39E+00
0	12	2	0	-1.20E+01	-2.25E+01	8.22E+00
2	2	0	0	-1.33E+01	-9.71E+00	-1.87E+00
2	2	0	2	-1.24E+01	-1.05E+01	-5.06E-01
2	2	0	4	-1.23E+01	-9.68E+00	-1.14E+00
2	2	0	6	-1.22E+01	-9.70E+00	-8.12E-01
2	2	0	8	-1.19E+01	-1.06E+01	8.21E-02
2	2	1	0	-1.21E+01	-5.11E+00	-3.73E+00
2	2	1	2	-1.14E+01	-4.64E+00	-3.78E+00
2	2	1	4	-1.12E+01	-4.53E+00	-3.21E+00
2	2	0	10	-1.14E+01	-1.49E+01	3.75E+00
2	2	1	6	-1.08E+01	-6.40E+00	-1.50E+00
2	2	1	8	-1.04E+01	-1.08E+01	2.61E+00
2	2	2	0	-1.03E+01	1.44E+00	-4.89E+00
2	2	0	12	-1.06E+01	-2.18E+01	8.79E+00
2	4	0	0	-1.29E+01	-1.15E+01	-3.59E-01
2	4	0	2	-1.23E+01	-1.11E+01	-6.18E-01
2	4	0	4	-1.21E+01	-1.05E+01	-5.93E-01
2	4	0	6	-1.22E+01	-8.64E+00	-1.94E+00
2	4	0	8	-1.23E+01	-7.38E+00	-2.17E+00
2	4	1	0	-1.20E+01	-6.05E+00	-3.33E+00
2	4	1	2	-1.13E+01	-5.63E+00	-3.43E+00
2	4	1	4	-1.11E+01	-4.71E+00	-3.64E+00
2	4	0	10	-1.19E+01	-1.03E+01	1.40E+00
2	4	1	6	-1.10E+01	-3.69E+00	-3.55E+00
2	4	1	8	-1.09E+01	-5.82E+00	-1.11E-01
2	4	2	0	-1.07E+01	-1.07E+00	-3.91E+00
2	4	0	12	-1.08E+01	-1.79E+01	7.86E+00
2	4	2	2	-9.96E+00	2.45E-01	-4.34E+00
1	10	0	0	-1.25E+01	-1.36E+01	3.65E-01
1	10	0	2	-1.18E+01	-1.28E+01	-9.72E-02
1	10	0	4	-1.15E+01	-1.15E+01	-8.82E-01
1	10	0	6	-1.12E+01	-1.00E+01	-1.50E+00
1	10	0	8	-1.10E+01	-8.15E+00	-2.19E+00
1	10	1	0	-1.21E+01	-9.56E+00	-9.61E-01
1	10	1	2	-1.13E+01	-8.12E+00	-1.80E+00
1	10	1	4	-1.08E+01	-6.42E+00	-2.68E+00
1	10	0	10	-1.08E+01	-5.85E+00	-2.71E+00
1	10	1	6	-1.04E+01	-4.67E+00	-3.28E+00
1	10	1	8	-9.89E+00	-2.72E+00	-3.48E+00
1	10	2	0	-1.18E+01	-1.25E+01	1.12E+00
1	10	0	12	-1.07E+01	-2.40E+00	-3.39E+00
1	10	2	2	-1.12E+01	-1.12E+01	7.14E-01
1	10	2	4	-1.09E+01	-9.74E+00	1.28E+00
2	6	0	0	-1.27E+01	-1.41E+01	1.98E+00
2	6	0	2	-1.21E+01	-1.34E+01	1.46E+00
2	6	0	4	-1.19E+01	-1.22E+01	6.40E-01
2	6	0	6	-1.19E+01	-1.08E+01	1.93E-01
2	6	0	8	-1.19E+01	-8.72E+00	-1.08E+00
2	6	1	0	-1.20E+01	-8.30E+00	-1.59E+00
2	6	1	2	-1.13E+01	-7.93E+00	-1.64E+00
2	6	1	4	-1.10E+01	-7.03E+00	-1.76E+00
2	6	0	10	-1.19E+01	-7.32E+00	-1.01E+00
2	6	1	6	-1.08E+01	-5.70E+00	-1.96E+00
2	6	1	8	-1.07E+01	-4.20E+00	-1.84E+00
2	6	2	0	-1.09E+01	-4.85E+00	-1.23E+00
2	6	0	12	-1.14E+01	-1.17E+01	4.00E+00
2	6	2	2	-1.02E+01	-3.69E+00	-1.59E+00
2	6	2	4	-9.67E+00	-2.35E+00	-1.65E+00
2	6	1	10	-1.06E+01	-7.64E+00	4.24E+00
0	14	0	0	-1.28E+01	-1.87E+01	4.93E+00
0	14	0	2	-1.20E+01	-1.68E+01	3.48E+00
0	14	0	4	-1.16E+01	-1.46E+01	1.99E+00
0	14	0	6	-1.11E+01	-1.26E+01	7.69E-01
0	14	0	8	-1.07E+01	-1.03E+01	-3.65E-01
0	14	1	0	-1.25E+01	-2.18E+01	9.18E+00
0	14	1	2	-1.17E+01	-2.04E+01	8.37E+00
0	14	1	4	-1.13E+01	-1.85E+01	7.35E+00
0	14	0	10	-1.03E+01	-8.07E+00	-1.07E+00
0	14	1	6	-1.09E+01	-1.63E+01	6.32E+00
0	14	1	8	-1.07E+01	-1.36E+01	5.19E+00
0	14	2	0	-1.17E+01	-2.81E+01	1.40E+01
0	14	0	12	-9.81E+00	-5.38E+00	-1.42E+00
0	14	2	2	-1.10E+01	-2.69E+01	1.37E+01
0	14	2	4	-1.06E+01	-2.57E+01	1.40E+01
0	14	1	10	-1.06E+01	-9.40E+00	4.10E+00
0	14	2	6	-1.05E+01	-2.26E+01	1.34E+01
2	8	0	0	-1.24E+01	-1.72E+01	4.04E+00
2	8	0	2	-1.18E+01	-1.63E+01	3.44E+00
2	8	0	4	-1.16E+01	-1.49E+01	2.51E+00
2	8	0	6	-1.15E+01	-1.29E+01	9.80E-01
2	8	0	8	-1.14E+01	-1.10E+01	-1.25E-02
2	8	1	0	-1.20E+01	-1.04E+01	-9.63E-01
2	8	1	2	-1.13E+01	-9.73E+00	-1.27E+00
2	8	1	4	-1.10E+01	-8.61E+00	-1.74E+00
2	8	0	10	-1.15E+01	-8.52E+00	-1.48E+00
