!MOLECULE
o-H3O+
!MOLECULAR WEIGHT
19.0
!NUMBER OF ENERGY LEVELS
9
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J,K,+/-
  1  	      5.2000	   12.0     1_0_+
  2  	     38.0836	    4.0     0_0_-
  3	     70.8807	   56.0     3_3_+
  4	    104.3389	   20.0     2_0_-
  5	    117.5571	   28.0     3_0_+
  6	    126.3719	   56.0     3_3_-
  7	    160.7727	   72.0     4_3_+
  8	    214.6876	   72.0     4_3_-
  9	    258.7457	   36.0     4_0_-
!NUMBER OF RADIATIVE TRANSITIONS
8
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
1      2    1	   2.305e-02	     984.696743     54.7
2      4    1	   2.535e-01	    2972.109643    150.1
3      5    4	   6.436e-04	     396.272412    169.1
4      9    5	   8.134e-01	    4232.729107    372.3
5      6    3	   8.333e-02	    1663.584332    181.8
6      7    6	   5.148e-03	    1031.310528    231.3
7      8    7	   4.586e-02	    1616.326555    308.9
8      8    3	   3.760e-01	    4311.221416    308.9
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 oH3O+ - H2 Scaled radiative and NH3 rates
!NUMBER OF COLL TRANS
36
!NUMBER OF COLL TEMPS
1
!COLL TEMPS
  100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
 1   2    1  5.4E-10 
 2   4    1  7.1E-10 
 3   5    4  4.0E-10 
 4   9    5  1.0E-10 
 5   6    3  3.6E-10 
 6   7    6  1.6E-10 
 7   8    3  1.0E-10 
 8   8    7  1.0E-10
 9   4    2  5.5E-11 
10   5    1  2.4E-10 
11   5    2  5.2E-11 
12   9    1  1.0E-10 
13   9    2  1.0E-10 
14   9    4  1.0E-10 
15   7    3  1.4E-10 
16   8    6  1.0E-10
17   3    1  1.6E-10 
18   3    2  3.0E-11 
19   6    1  2.7E-10 
20   6    2  3.0E-11 
21   6    4  4.9E-10 
22   6    5  3.3E-10 
23   7    1  5.1E-11 
24   7    2  1.5E-11
25   7    4  7.7E-11 
26   7    5  2.5E-10 
27   8    1  1.0E-10 
28   8    2  1.0E-10 
29   8    4  1.0E-10 
30   8    5  1.0E-10 
31   4    3  3.5E-10 
32   5    3  1.0E-09
33   9    3  1.0E-10 
34   9    6  1.0E-10 
35   9    7  1.0E-10 
36   9    8  1.0E-10 
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients taken from JPL
