hden	logU	logU/T	log T	Pgas
1.000e+000	6.523e+000	-5.973e-001	7.120e+000	4.207e-008
1.250e+000	6.273e+000	-8.472e-001	7.120e+000	7.480e-008
1.500e+000	6.023e+000	-1.097e+000	7.120e+000	1.330e-007
1.750e+000	5.773e+000	-1.347e+000	7.120e+000	2.364e-007
2.000e+000	5.523e+000	-1.597e+000	7.120e+000	4.201e-007
2.250e+000	5.273e+000	-1.846e+000	7.119e+000	7.464e-007
2.500e+000	5.023e+000	-2.096e+000	7.118e+000	1.325e-006
2.750e+000	4.773e+000	-2.344e+000	7.117e+000	2.348e-006
3.000e+000	4.523e+000	-2.592e+000	7.114e+000	4.151e-006
3.250e+000	4.273e+000	-2.838e+000	7.111e+000	7.317e-006
3.500e+000	4.023e+000	-3.079e+000	7.101e+000	1.274e-005
3.750e+000	3.773e+000	-3.315e+000	7.088e+000	2.194e-005
4.000e+000	3.523e+000	-3.540e+000	7.063e+000	3.686e-005
4.250e+000	3.273e+000	-3.745e+000	7.018e+000	5.908e-005
4.500e+000	3.023e+000	-3.915e+000	6.938e+000	8.747e-005
4.750e+000	2.773e+000	-4.029e+000	6.802e+000	1.137e-004
5.000e+000	2.523e+000	-4.055e+000	6.578e+000	1.206e-004
5.250e+000	2.273e+000	-3.955e+000	6.228e+000	9.580e-005
5.500e+000	2.023e+000	-3.984e+000	6.007e+000	1.024e-004
5.750e+000	1.773e+000	-3.983e+000	5.756e+000	1.022e-004
6.000e+000	1.523e+000	-3.855e+000	5.378e+000	7.609e-005
6.250e+000	1.273e+000	-3.956e+000	5.229e+000	9.612e-005
6.500e+000	1.023e+000	-4.081e+000	5.104e+000	1.279e-004
6.750e+000	7.729e-001	-4.136e+000	4.908e+000	1.451e-004
7.000e+000	5.229e-001	-4.218e+000	4.741e+000	1.753e-004
7.250e+000	2.729e-001	-4.345e+000	4.618e+000	2.347e-004
7.500e+000	2.290e-002	-4.501e+000	4.524e+000	3.365e-004
7.750e+000	-2.271e-001	-4.685e+000	4.458e+000	5.140e-004
8.000e+000	-4.771e-001	-4.892e+000	4.414e+000	8.264e-004
8.250e+000	-7.271e-001	-5.112e+000	4.385e+000	1.374e-003
8.500e+000	-9.771e-001	-5.339e+000	4.362e+000	2.314e-003
8.750e+000	-1.227e+000	-5.565e+000	4.338e+000	3.894e-003
9.000e+000	-1.477e+000	-5.787e+000	4.309e+000	6.481e-003
9.250e+000	-1.727e+000	-6.007e+000	4.280e+000	1.076e-002
9.500e+000	-1.977e+000	-6.232e+000	4.255e+000	1.804e-002
9.750e+000	-2.227e+000	-6.466e+000	4.239e+000	3.087e-002
1.000e+001	-2.477e+000	-6.706e+000	4.229e+000	5.343e-002
1.025e+001	-2.727e+000	-6.943e+000	4.216e+000	9.179e-002
1.050e+001	-2.977e+000	-7.172e+000	4.195e+000	1.543e-001
1.075e+001	-3.227e+000	-7.391e+000	4.164e+000	2.534e-001
1.100e+001	-3.477e+000	-7.608e+000	4.130e+000	4.116e-001
1.125e+001	-3.727e+000	-7.821e+000	4.094e+000	6.621e-001
1.150e+001	-3.977e+000	-8.040e+000	4.063e+000	1.071e+000
1.175e+001	-4.227e+000	-8.268e+000	4.041e+000	1.749e+000
1.200e+001	-4.477e+000	-8.500e+000	4.023e+000	2.840e+000
