density	temp	OIII 5007	4363	1665	88	52	1661
0.000e+000	5.000e+003	1.000e+000	2.564e-004	2.040e-005	7.679e+000	4.135e+000	5.888e-006
0.000e+000	7.500e+003	1.000e+000	2.235e-003	9.399e-004	1.105e+000	6.090e-001	2.713e-004
0.000e+000	1.125e+004	1.000e+000	9.605e-003	1.203e-002	3.000e-001	1.686e-001	3.472e-003
0.000e+000	1.688e+004	1.000e+000	2.521e-002	6.536e-002	1.240e-001	7.084e-002	1.886e-002
0.000e+000	2.531e+004	1.000e+000	4.755e-002	2.004e-001	6.777e-002	3.929e-002	5.784e-002
1.000e+000	5.000e+003	1.000e+000	2.564e-004	2.040e-005	7.361e+000	4.193e+000	5.888e-006
1.000e+000	7.500e+003	1.000e+000	2.235e-003	9.399e-004	1.066e+000	6.158e-001	2.713e-004
1.000e+000	1.125e+004	1.000e+000	9.605e-003	1.203e-002	2.911e-001	1.701e-001	3.472e-003
1.000e+000	1.688e+004	1.000e+000	2.521e-002	6.536e-002	1.209e-001	7.134e-002	1.887e-002
1.000e+000	2.531e+004	1.000e+000	4.756e-002	2.004e-001	6.635e-002	3.951e-002	5.784e-002
2.000e+000	5.000e+003	1.000e+000	2.565e-004	2.041e-005	5.146e+000	4.472e+000	5.889e-006
2.000e+000	7.500e+003	1.000e+000	2.236e-003	9.400e-004	7.814e-001	6.517e-001	2.713e-004
2.000e+000	1.125e+004	1.000e+000	9.609e-003	1.203e-002	2.228e-001	1.787e-001	3.473e-003
2.000e+000	1.688e+004	1.000e+000	2.522e-002	6.537e-002	9.622e-002	7.448e-002	1.887e-002
2.000e+000	2.531e+004	1.000e+000	4.757e-002	2.004e-001	5.463e-002	4.099e-002	5.784e-002
3.000e+000	5.000e+003	1.000e+000	2.577e-004	2.044e-005	1.051e+000	3.213e+000	5.900e-006
3.000e+000	7.500e+003	1.000e+000	2.245e-003	9.415e-004	1.785e-001	4.984e-001	2.717e-004
3.000e+000	1.125e+004	1.000e+000	9.643e-003	1.205e-002	5.714e-002	1.447e-001	3.477e-003
3.000e+000	1.688e+004	1.000e+000	2.529e-002	6.545e-002	2.775e-002	6.348e-002	1.889e-002
3.000e+000	2.531e+004	1.000e+000	4.770e-002	2.006e-001	1.770e-002	3.651e-002	5.791e-002
4.000e+000	5.000e+003	1.000e+000	2.696e-004	2.082e-005	8.357e-002	6.548e-001	6.009e-006
4.000e+000	7.500e+003	1.000e+000	2.338e-003	9.564e-004	1.429e-002	1.098e-001	2.760e-004
4.000e+000	1.125e+004	1.000e+000	9.989e-003	1.222e-002	4.665e-003	3.476e-002	3.526e-003
4.000e+000	1.688e+004	1.000e+000	2.609e-002	6.627e-002	2.338e-003	1.672e-002	1.913e-002
4.000e+000	2.531e+004	1.000e+000	4.902e-002	2.029e-001	1.558e-003	1.060e-002	5.857e-002
5.000e+000	5.000e+003	1.000e+000	3.885e-004	2.458e-005	8.944e-003	8.536e-002	7.093e-006
5.000e+000	7.500e+003	1.000e+000	3.257e-003	1.105e-003	1.473e-003	1.426e-002	3.190e-004
5.000e+000	1.125e+004	1.000e+000	1.344e-002	1.389e-002	4.650e-004	4.529e-003	4.009e-003
5.000e+000	1.688e+004	1.000e+000	3.402e-002	7.447e-002	2.260e-004	2.204e-003	2.149e-002
5.000e+000	2.531e+004	1.000e+000	6.217e-002	2.260e-001	1.463e-004	1.424e-003	6.522e-002
6.000e+000	5.000e+003	1.000e+000	1.521e-003	6.216e-005	2.235e-003	2.181e-002	1.794e-005
6.000e+000	7.500e+003	1.000e+000	1.207e-002	2.595e-003	3.409e-004	3.388e-003	7.489e-004
6.000e+000	1.125e+004	1.000e+000	4.667e-002	3.063e-002	1.008e-004	1.013e-003	8.841e-003
6.000e+000	1.688e+004	1.000e+000	1.108e-001	1.564e-001	4.651e-005	4.712e-004	4.515e-002
6.000e+000	2.531e+004	1.000e+000	1.901e-001	4.563e-001	2.883e-005	2.934e-004	1.317e-001
7.000e+000	5.000e+003	1.000e+000	9.082e-003	4.379e-004	1.573e-003	1.539e-002	1.264e-004
7.000e+000	7.500e+003	1.000e+000	7.366e-002	1.749e-002	2.295e-004	2.287e-003	5.048e-003
7.000e+000	1.125e+004	1.000e+000	2.886e-001	1.982e-001	6.512e-005	6.569e-004	5.722e-002
7.000e+000	1.688e+004	1.000e+000	6.910e-001	9.788e-001	2.904e-005	2.954e-004	2.825e-001
7.000e+000	2.531e+004	1.000e+000	1.190e+000	2.774e+000	1.748e-005	1.788e-004	8.005e-001
