density	[OII] 3726	3729	2471	7323	7332
-1	1.000000e+000	1.500471e+000	3.302492e-002	2.440662e-002	1.947428e-002
-0.5	1.000000e+000	1.499976e+000	3.303013e-002	2.441045e-002	1.947724e-002
0	1.000000e+000	1.498415e+000	3.304660e-002	2.442256e-002	1.948659e-002
0.5	1.000000e+000	1.493505e+000	3.309862e-002	2.446081e-002	1.951614e-002
1	1.000000e+000	1.478251e+000	3.326245e-002	2.458126e-002	1.960926e-002
1.5	1.000000e+000	1.432578e+000	3.377411e-002	2.495758e-002	1.990070e-002
2	1.000000e+000	1.309672e+000	3.533816e-002	2.610888e-002	2.079700e-002
2.5	1.000000e+000	1.055885e+000	3.994604e-002	2.950694e-002	2.347262e-002
3	1.000000e+000	7.336212e-001	5.331210e-002	3.938723e-002	3.136737e-002
3.5	1.000000e+000	5.056521e-001	9.357426e-002	6.919143e-002	5.538680e-002
4	1.000000e+000	4.024403e-001	2.191131e-001	1.621536e-001	1.304593e-001
4.5	1.000000e+000	3.652044e-001	6.130493e-001	4.538518e-001	3.659563e-001
5	1.000000e+000	3.529285e-001	1.835653e+000	1.358874e+000	1.095248e+000
5.5	1.000000e+000	3.490769e-001	5.486311e+000	4.058773e+000	3.258914e+000
6	1.000000e+000	3.480500e-001	1.523232e+001	1.125039e+001	8.943502e+000
6.5	1.000000e+000	3.480048e-001	3.497913e+001	2.576465e+001	2.013856e+001
7	1.000000e+000	3.481718e-001	5.929390e+001	4.356248e+001	3.350450e+001
7.5	1.000000e+000	3.482700e-001	7.597460e+001	5.573944e+001	4.248759e+001
